,Name,Sales,Series,Release,Genre,Developer,Publisher
144,Psychonauts,1.0,Psychonauts,2005-04-01,Platform,Double Fine Productions,THQ
145,Quake,1.0,Quake,1996-06-01,First-person shooter,id Software,GT Interactive
146,Quake II,1.0,Quake,1997-12-01,First-person shooter,id Software,Activision
147,Railroad Tycoon II,1.0,Railroad Tycoon,1998-11-01,Construction and management simulation,PopTop Software,Gathering of Developers
148,Resident Evil 5,1.0,Resident Evil,2009-09-01,"Third-person shooter, survival horror",Capcom,Capcom
149,Return to Castle Wolfenstein,1.0,Wolfenstein,2001-11-01,First-person shooter,Gray Matter Interactive,Activision
150,Return to Zork,1.0,Zork,1993-08-01,Adventure,Infocom,Activision
151,RoboCop,1.0,RoboCop,1988-12-01,"Beat 'em up, run-and-gun",Data East,"Data East, Ocean Software"
152,Rome: Total War,1.0,Total War,2004-09-01,Real-time strategy,The Creative Assembly,Activision
153,Runaway: A Road Adventure,1.0,Runaway,2001-07-01,Adventure,"Péndulo Studios, S.L.",Dinamic Multimedia
154,Sacred,1.0,Sacred,2004-03-01,Action role-playing,Ascaron,Encore
155,Star Wars Galaxies,1.0,Star Wars,2003-06-01,MMORPG,Sony Online Entertainment,LucasArts
156,Star Wars: Rebel Assault,1.0,Star Wars,1993-11-01,Rail shooter,LucasArts,LucasArts
157,StarCraft II: Heart of the Swarm,1.0,StarCraft,2013-03-01,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
158,StarCraft II: Legacy of the Void,1.0,StarCraft,2015-11-01,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
160,Stronghold,1.0,Stronghold,2001-10-01,Real-time strategy,Firefly Studios,Take-Two Interactive / Gathering of Developers
161,Supreme Commander,1.0,Total Annihilation,2007-02-01,Real-time strategy,Gas Powered Games,THQ
162,Tetris,1.0,Tetris,1988-01-01,Puzzle,Spectrum HoloByte,Spectrum HoloByte
163,The Legend of Sword and Fairy 3,1.0,The Legend of Sword and Fairy,2003-07-01,Role-playing game,Softstar Entertainment,Softstar Entertainment
164,The Legend of Sword and Fairy 5,1.0,The Legend of Sword and Fairy,2011-07-01,Role-playing game,Softstar,Softstar
166,Total Annihilation,1.0,Total Annihilation,1997-09-01,Real-time strategy,Cavedog Entertainment,GT Interactive
167,Tropico,1.0,Tropico,2001-04-01,Construction and management simulation,PopTop Software,Gathering of Developers
168,Unreal,1.0,Unreal,1998-05-01,First-person shooter,Epic Games,GT Interactive
169,Unreal Tournament,1.0,Unreal,1999-11-01,First-person shooter,Epic Games,GT Interactive
170,Vietcong,1.0,Vietcong,2003-03-01,Tactical shooter,Pterodon,Gathering of Developers
171,Warhammer Online: Age of Reckoning,1.0,Warhammer,2008-09-01,MMORPG,Mythic Entertainment,Electronic Arts
173,Wing Commander 3: Heart of the Tiger,1.0,Wing Commander,1994-12-01,Space combat simulation,Origin Systems,Electronic Arts
174,Zoo Tycoon,1.0,Zoo Tycoon,2001-10-01,Business simulation,Microsoft,Blue Fang Games
175,StarCraft II: Heart of the Swarm,1.0,StarCraft,2013-03-01,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
176,StarCraft II: Legacy of the Void,1.0,StarCraft,2015-11-01,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment
